Date,Amount,Description,Category
2024-01-16,4081.95,Health Checkup,Healthcare
2024-03-06,4944.13,Electricity Bill,Utilities
2024-02-18,1950.88,Clothing Store,Shopping
2024-01-03,4937.52,Apartment Rent,Rent
2024-05-11,4635.99,Netflix,Entertainment
2024-03-25,688.18,Doctor Visit,Healthcare
2024-03-08,3589.29,Dominos,Food
2024-05-11,1639.26,Spotify,Entertainment
2024-03-20,3132.03,Apartment Rent,Rent
2024-04-14,1075.21,Train Ticket,Transport
2024-03-02,822.16,Miscellaneous,Others
2024-02-01,2816.71,Apartment Rent,Rent
2024-02-29,546.36,Fuel,Transport
2024-05-28,180.68,Groceries,Food
2024-05-11,2377.54,Movie,Entertainment
2024-04-29,230.42,Doctor Visit,Healthcare
2024-01-15,881.14,Clothing Store,Shopping
2024-03-10,1053.03,Doctor Visit,Healthcare
2024-03-05,537.68,Health Checkup,Healthcare
2024-02-11,2807.46,Doctor Visit,Healthcare
2024-01-13,2830.07,Water Bill,Utilities
2024-05-25,4430.67,Flipkart,Shopping
2024-04-25,2004.32,Donation,Others
2024-04-01,3339.28,Clothing Store,Shopping
2024-04-25,285.32,Netflix,Entertainment
2024-04-23,3307.96,Flipkart,Shopping
2024-04-21,4123.94,Doctor Visit,Healthcare
2024-02-16,3963.3,Uber,Transport
2024-02-16,3202.25,Electricity Bill,Utilities
2024-01-06,3404.75,Fuel,Transport
2024-03-19,4208.66,Clothing Store,Shopping
2024-04-29,425.94,Water Bill,Utilities
2024-02-04,1677.19,Fuel,Transport
2024-04-11,1817.25,Clothing Store,Shopping
2024-04-16,1635.96,Netflix,Entertainment
2024-03-08,1419.76,Water Bill,Utilities
2024-01-26,102.09,Swiggy,Food
2024-03-23,3963.11,Dominos,Food
2024-03-26,105.3,Water Bill,Utilities
2024-02-22,3528.97,Groceries,Food
2024-04-05,4869.33,Amazon,Shopping
2024-02-02,4008.71,Flipkart,Shopping
2024-02-07,2580.57,Netflix,Entertainment
2024-04-17,3892.09,Dominos,Food
2024-02-24,1973.6,Apartment Rent,Rent
2024-05-07,3585.87,Apartment Rent,Rent
2024-02-10,2332.83,Zomato,Food
2024-05-25,2629.84,Flipkart,Shopping
2024-05-23,3473.46,Apartment Rent,Rent
2024-04-24,2279.56,Concert,Entertainment
2024-01-15,4652.31,Swiggy,Food
2024-05-10,3377.68,Swiggy,Food
2024-02-09,1748.79,Train Ticket,Transport
2024-03-08,4809.6,Clothing Store,Shopping
2024-05-27,3960.7,Dominos,Food
2024-05-30,4291.22,Concert,Entertainment
2024-01-03,1965.2,Internet Bill,Utilities
2024-05-05,4049.36,Uber,Transport
2024-05-29,1733.53,Flipkart,Shopping
2024-01-01,1234.64,Apartment Rent,Rent
2024-04-02,2486.73,Netflix,Entertainment
2024-02-15,3469.15,Gift,Others
2024-05-19,3667.15,Health Checkup,Healthcare
2024-02-02,1762.36,Apartment Rent,Rent
2024-02-29,3712.86,Health Checkup,Healthcare
2024-04-09,4476.26,Uber,Transport
2024-01-21,1957.29,Flipkart,Shopping
2024-02-29,4462.21,Miscellaneous,Others
2024-03-30,3473.69,Netflix,Entertainment
2024-02-07,3899.4,Doctor Visit,Healthcare
2024-04-13,2304.83,Bus Pass,Transport
2024-01-21,1354.1,Apartment Rent,Rent
2024-01-25,1646.57,Fuel,Transport
2024-02-12,886.15,Swiggy,Food
2024-03-21,2007.72,Spotify,Entertainment
2024-01-06,1067.61,Gift,Others
2024-02-10,2542.13,Swiggy,Food
2024-01-15,1927.92,Groceries,Food
2024-02-12,1848.43,Apartment Rent,Rent
2024-04-26,494.08,Groceries,Food
2024-02-02,4673.51,Health Checkup,Healthcare
2024-03-28,2394.93,Fuel,Transport
2024-01-15,2013.71,Miscellaneous,Others
2024-05-16,265.24,Miscellaneous,Others
2024-02-02,2686.18,Train Ticket,Transport
2024-02-26,3518.7,Spotify,Entertainment
2024-03-27,4848.79,Flipkart,Shopping
2024-05-13,310.55,Apartment Rent,Rent
2024-04-12,1990.42,Spotify,Entertainment
2024-03-11,4640.6,Dominos,Food
2024-04-27,787.71,Apartment Rent,Rent
2024-04-14,2717.04,Apartment Rent,Rent
2024-05-20,2021.02,Spotify,Entertainment
2024-03-29,762.46,Netflix,Entertainment
2024-02-10,271.4,Gift,Others
2024-01-29,1556.77,Apartment Rent,Rent
2024-03-30,4982.8,Netflix,Entertainment
2024-04-07,3529.67,Movie,Entertainment
2024-01-06,4143.72,Flipkart,Shopping
2024-01-25,1193.41,Train Ticket,Transport
2024-03-20,3168.04,Bus Pass,Transport
2024-02-26,2298.49,Internet Bill,Utilities
2024-04-01,4991.64,Health Checkup,Healthcare
2024-04-29,548.66,Gift,Others
2024-05-17,3781.23,Pharmacy,Healthcare
2024-01-02,2911.79,Apartment Rent,Rent
2024-02-20,4889.16,Concert,Entertainment
2024-02-22,1854.18,Electricity Bill,Utilities
2024-01-21,129.53,Apartment Rent,Rent
2024-03-31,376.68,Fuel,Transport
2024-01-19,2677.19,Bus Pass,Transport
2024-03-30,196.98,Donation,Others
2024-01-06,4153.8,Netflix,Entertainment
2024-05-13,4148.77,Bus Pass,Transport
2024-05-22,1828.39,Doctor Visit,Healthcare
2024-03-23,4050.13,Concert,Entertainment
2024-02-21,1673.83,Zomato,Food
2024-01-02,1999.77,Clothing Store,Shopping
2024-02-24,4139.13,Water Bill,Utilities
2024-01-22,4053.02,Apartment Rent,Rent
2024-03-31,1544.32,Apartment Rent,Rent
2024-05-11,4946.78,Netflix,Entertainment
2024-05-10,4976.96,Apartment Rent,Rent
2024-02-27,1433.94,Fuel,Transport
2024-01-26,1614.93,Movie,Entertainment
2024-03-19,4578.23,Electricity Bill,Utilities
2024-04-06,2907.97,Apartment Rent,Rent
2024-02-12,3755.07,Health Checkup,Healthcare
2024-04-24,857.13,Movie,Entertainment
2024-02-19,3554.13,Train Ticket,Transport
2024-01-02,593.31,Doctor Visit,Healthcare
2024-03-16,1930.73,Donation,Others
2024-01-11,2290.35,Concert,Entertainment
2024-02-29,656.88,Apartment Rent,Rent
2024-01-02,2328.78,Doctor Visit,Healthcare
2024-02-11,4563.82,Dominos,Food
2024-02-02,860.66,Swiggy,Food
2024-05-03,4189.48,Spotify,Entertainment
2024-03-05,3488.81,Zomato,Food
2024-04-25,2799.75,Clothing Store,Shopping
2024-05-02,679.54,Netflix,Entertainment
2024-01-07,1040.85,Apartment Rent,Rent
2024-01-29,2389.47,Apartment Rent,Rent
2024-04-10,2208.69,Bus Pass,Transport
2024-03-06,1845.54,Apartment Rent,Rent
2024-04-01,3752.97,Apartment Rent,Rent
2024-05-17,3606.18,Gift,Others
2024-02-01,116.79,Spotify,Entertainment
2024-03-25,3518.87,Netflix,Entertainment
2024-05-14,1314.48,Clothing Store,Shopping
2024-05-04,672.95,Uber,Transport
2024-04-08,809.75,Amazon,Shopping
2024-03-10,3466.09,Swiggy,Food
2024-05-15,1718.42,Zomato,Food
2024-01-07,3455.15,Clothing Store,Shopping
2024-02-21,1898.49,Groceries,Food
2024-03-05,2918.63,Gift,Others
2024-01-17,4708.1,Electricity Bill,Utilities
2024-04-25,3123.47,Uber,Transport
2024-03-01,1481.4,Flipkart,Shopping
2024-02-15,3258.08,Flipkart,Shopping
2024-02-19,4540.42,Gift,Others
2024-02-02,3858.39,Concert,Entertainment
2024-05-09,2887.48,Groceries,Food
2024-03-22,2039.18,Water Bill,Utilities
2024-02-27,2631.84,Electricity Bill,Utilities
2024-04-10,2509.45,Gift,Others
2024-05-18,1350.73,Water Bill,Utilities
2024-03-27,4439.78,Amazon,Shopping
2024-04-09,1469.98,Dominos,Food
2024-05-19,3485.6,Water Bill,Utilities
2024-02-12,3546.62,Pharmacy,Healthcare
2024-04-22,2390.4,Donation,Others
2024-04-09,4041.42,Fuel,Transport
2024-02-04,2145.74,Train Ticket,Transport
2024-04-16,1970.13,Pharmacy,Healthcare
2024-05-05,3719.79,Apartment Rent,Rent
2024-03-26,3517.11,Swiggy,Food
